Id,ORIG_FID,STATE_ROUT,pos,X,Y,pro_X,pro_Y,Index,Elevation
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.18340000000,41.51800000000,401254.00000000000,4596940.00000000000,1729,33588
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.19140000000,41.51700000000,400589.00000000000,4596830.00000000000,1730,32650
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.19800000000,41.51230000000,400032.00000000000,4596330.00000000000,1731,33153
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.20430000000,41.50730000000,399495.00000000000,4595780.00000000000,1732,34028
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.21070000000,41.50230000000,398956.00000000000,4595230.00000000000,1733,33523
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.21710000000,41.49740000000,398417.00000000000,4594690.00000000000,1734,34687
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.22430000000,41.49420000000,397805.00000000000,4594340.00000000000,1735,33966
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.14860000000,41.51770000000,404161.00000000000,4596860.00000000000,869,29595
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.14050000000,41.51760000000,404835.00000000000,4596850.00000000000,870,30286
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.13240000000,41.51760000000,405509.00000000000,4596840.00000000000,871,31381
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.12440000000,41.51760000000,406184.00000000000,4596820.00000000000,872,30826
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.11630000000,41.51750000000,406858.00000000000,4596810.00000000000,873,32860
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.10820000000,41.51750000000,407533.00000000000,4596800.00000000000,874,33132
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.10010000000,41.51750000000,408207.00000000000,4596790.00000000000,875,32439
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.09200000000,41.51750000000,408882.00000000000,4596780.00000000000,876,31495
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.08400000000,41.51870000000,409551.00000000000,4596910.00000000000,877,31832
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.08650000000,41.51850000000,409344.00000000000,4596890.00000000000,1717,31206
